name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Cameleon chardonnay & feteasca alba & sauvignon,2938,28.182,13.9,750
Bovin Symphony hvítt,2751,28.215,13.0,750
Yeya,2751,28.215,13.0,750
Bon Courage Estate Sauvignon Blanc,2757,28.277,13.0,750
JP. Chenet Medium Sweet,849,28.3,12.0,250
Barefoot Riesling,1699,28.317,8.0,750
Tuna Club Verdejo Sauvignon Blanc,2655,28.32,12.5,750
Monte da Raposinha hvítt,2550,28.333,12.0,750
Bergamo Vini Tai,2764,28.349,13.0,750
Cono Sur Bicicleta Viognier,2890,28.543,13.5,750
Nederburg Private Collection Sauvignon Blanc,2999,28.562,14.0,750
Olivier Lafont Cotes du Rhone Blanc,2899,28.632,13.5,750
Alba Martin Albarino No 6153 / Po,2690,28.693,12.5,750
Chateau Lafont Fourcat Blanc,2690,28.693,12.5,750
Mariana Vinho Branco,2690,28.693,12.5,750
Folklore Albarino,2690,28.693,12.5,750
Marques de la Concordia Blanco Rioja Santiago,2690,28.693,12.5,750
Adro Da Se Encruzado,2799,28.708,13.0,750
Laurent Miquel Solas Chardonnay,2799,28.708,13.0,750
Finca Las Moras Reserva Chardonnay,2799,28.708,13.0,750
Rapitala Chardonnay,2699,28.789,12.5,750
Tommasi Adorato Appassionato,2699,28.789,12.5,750
Torres Vina Sol,648,28.877,12.0,187
Tommasi Soave Classico Le Volpare,2599,28.878,12.0,750
Julia Schittler Sauvignon Blanc trocken Ortswein,2599,28.878,12.0,750
Pizzolato Pinot Grigio,2599,28.878,12.0,750
Pares Balta Blanc de Pacs,2499,28.974,11.5,750
Baron de Ley Semi Dulce,2398,29.067,11.0,750
Rudesheimer Rosengarten Riesling Feinherb,2290,29.079,10.5,750
Tenuta di Sticciano Argillaria Bianco,2751,29.344,12.5,750
Allegro Chardonnay Organic,2972,29.353,13.5,750
Lucien Albrecht Cuvee Romanus Pinot Gris,3090,29.429,14.0,750
Villa Maria Chardonnay Private Bin East Coast,2874,29.477,13.0,750
Goats do Roam White Blend,2990,29.531,13.5,750
Albino Armani Lugana,2990,29.531,13.5,750
Gentil Hugel,2990,29.531,13.5,750
Muga hvítt,2999,29.62,13.5,750
Paul Jaboulet Cotes du Rhone Parallele 45 hvítt,2999,29.62,13.5,750
Torres Gran Vina Sol Chardonnay,2999,29.62,13.5,750
Gomez Crusado Blanco,2999,29.62,13.5,750
Beringer Founders' Estate Chardonnay,2999,29.62,13.5,750
Pasqua Capitolo 104 Chardonnay Grillo,2890,29.641,13.0,750
La Mora Vermentino,2890,29.641,13.0,750
Picton Bay Sauvignon Blanc,2890,29.641,13.0,750
Ciari Pinot Grigio,2890,29.641,13.0,750
Campo Maccione Vermentino,2899,29.733,13.0,750
Lucien Albrecht Reserve Gewurztraminer,2899,29.733,13.0,750
Vidal Fleury Cotes du Rhone hvítt,2899,29.733,13.0,750
Gerard Bertrand Picpoul de Pinet An 1618,2899,29.733,13.0,750
Andreza Reserva hvítt,2901,29.754,13.0,750
Carm Branco,2790,29.76,12.5,750
Timo Vermentino,2790,29.76,12.5,750
Frank Gruner Veltliner Herrnbaumgarten,2790,29.76,12.5,750
Schmetterling Riesling,1899,29.788,8.5,750
Lucien Albrecht Reserve Pinot Blanc,2799,29.856,12.5,750
LaCheteau Sauvignon Touraine,2799,29.856,12.5,750
Pfaffl Gruner Veltliner vom Haus,2799,29.856,12.5,750
Arthur Metz Pinot Gris,2799,29.856,12.5,750
Matua Sauvignon Blanc,2799,29.856,12.5,750
Ruffino Pinot Grigio,2799,29.856,12.5,750
La Baume Les Maries Sauvignon Blanc,2799,29.856,12.5,750
Santa Cristina Pinot Grigio,2699,29.989,12.0,750
Nobilo Sauvignon Blanc,2699,29.989,12.0,750
Domaine La Moriniere Chardonnay,2699,29.989,12.0,750
Wynns Coonawarra Estate Chardonnay,2999,30.065,13.3,750
Montalto Pinot Grigio,1299,30.122,11.5,375
Maria Bonita Loureiro,2489,30.17,11.0,750
Yellow Tail Moscato,1699,30.204,7.5,750
Villa Wolf Riesling,2499,30.291,11.0,750
Jakob Schneider Riesling Halbtrocken,3490,30.348,11.5,1000
Nativ Vico Riviera 99,2965,30.41,13.0,750
Gerard Bertrand Orange Gold,2965,30.41,13.0,750
E.Guigal Cotes du Rhone hvítt,3199,30.467,14.0,750
Bulas Branco,2975,30.513,13.0,750
Glen Carlou Chardonnay,3090,30.519,13.5,750
Lucien Albrecht Reserve Pinot Gris,3090,30.519,13.5,750
Villa Maria Riesling Private Bin,2977,30.533,13.0,750
Bestheim Sylvaner Classic,2868,30.592,12.5,750
Deutsches Weintor Grauer Burgunder Trocken,2874,30.656,12.5,750
Marques de Riscal Organic hvítt,2990,30.667,13.0,750
Underwood Pinot Gris,2990,30.667,13.0,750
Pasarisa Torrontes White Wine,2990,30.667,13.0,750
Santa Margherita Pinot Grigio,2880,30.72,12.5,750
Italo Cescon Pinot Grigio,2880,30.72,12.5,750
Underwood Pinot Gris,1498,30.728,13.0,375
Diamond Hill Chardonnay,999,30.738,13.0,250
Ca'della Scala Adagio Pinot Grigio,2882,30.741,12.5,750
Willm Pinot Gris Reserve,2999,30.759,13.0,750
Disznoko Tokaji Dry Furmint,2999,30.759,13.0,750
Morande Gran Reserva Sauvignon Blanc Seleccion de Vinedos,2999,30.759,13.0,750
Basa Verdejo,2999,30.759,13.0,750
Farina Appassilento Bianco,2999,30.759,13.0,750
Rapaura Sauvignon Blanc,2999,30.759,13.0,750
le p'tit blanc des Voisin,2999,30.759,13.0,750
Julia Schittler Riesling trocken Lagenwein,2999,30.759,13.0,750
Bousquet Unoaked Chardonnay,2999,30.759,13.0,750
Willm Gewurztraminer Reserve,2999,30.759,13.0,750
Gerard Bertrand cote des roses Chardonnay,2999,30.759,13.0,750
Masi Masianco Pinot Grigio,2999,30.759,13.0,750
Protos Verdejo,2999,30.759,13.0,750
Chateau Haut Pougnan Sauvignon,2890,30.827,12.5,750
DLZ Volume II Idealysta Chardonnay Fiano,2890,30.827,12.5,750
Gustave Lorentz Reserve Pinot Gris,3240,30.857,14.0,750
Bellingham Sauvignon Blanc,2899,30.923,12.5,750
Vicar's Choice Sauvignon Blanc,2899,30.923,12.5,750
Saint Clair Vicar's Choice Pinot Gris,2899,30.923,12.5,750
Gatao White Wine,696,30.933,9.0,250
ikigall vino bianco,2900,30.933,12.5,750
BDX Revolution Sauvignon Blanc,2672,30.98,11.5,750
Villa Antinori hvítt,2799,31.1,12.0,750
Tommasi Le Rosse Pinot Grigio,2799,31.1,12.0,750
Valle del Maule Semillon Terroir Wines,2799,31.1,12.0,750
Pete's Pure Chardonnay,2920,31.147,12.5,750
Faustino VII hvítt,729,31.187,12.5,187
Cantina La Selva Selvabianco,3190,31.506,13.5,750
3 Passo Bianco,3078,31.569,13.0,750
Crudo Catarratto Zibibbo,2961,31.584,12.5,750
Hess Select Chardonnay,3199,31.595,13.5,750
Hess Select Sauvignon Blanc,3199,31.595,13.5,750
Rapaura Reserve Sauvignon Blanc,3099,31.785,13.0,750
Marques de Riscal sauvignon blanc,2990,31.893,12.5,750
Ciari Sauvignon Blanc,2990,31.893,12.5,750
600 Vinho Branco,2990,31.893,12.5,750
Villa Bianchi Verdicchio dei Castelli di Jesi,2990,31.893,12.5,750
Tiki Sauvignon Blanc,2990,31.893,12.5,750
Brochet Facile Sauvignon Blanc,2999,31.989,12.5,750
Marani Mtsvane,2999,31.989,12.5,750
Coto de Imaz Blanco Reserva,2999,31.989,12.5,750
Farina Pinot Grigio,2999,31.989,12.5,750
Tommasi Lugana Le Fornaci,2999,31.989,12.5,750
Zenato San Benedetto,2999,31.989,12.5,750
La Chablisienne Bourgogne Chardonnay,2999,31.989,12.5,750
Kakabadze Alazani Valley White Semi Sweet Selected Vineyards,2999,31.989,12.5,750
