name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML,vivino_rating
Adobe Reserva Cabernet Sauvignon,1290,25.481,13.5,375,35.0
bree merlot,829,25.508,13.0,250,31.0
Radacini Merlot,2489,25.528,13.0,750,34.0
Maximus Negroamoro Zinfandel Limited Edition,2490,25.538,13.0,750,38.0
Freixenet Cabernet Sauvignon,2490,25.538,13.0,750,34.0
Yellow Tail Jammy Red Roo,2299,25.544,12.0,750,37.0
Camp Round & Fruity Shiraz Cabernet Sauvignon,2299,25.544,12.0,750,
Falling Feather Ruby Cabernet,2299,25.544,12.0,750,35.0
Liver More Pnot Nor Red Wine,2590,25.58,13.5,750,
Vinha da Urze Tinto,2590,25.58,13.5,750,37.0
Querceto Red Wine,2590,25.58,13.5,750,39.0
Casillero del Diablo Cabernet Sauvignon,2399,25.589,12.5,750,35.0
Master Rabbit Syrah,2499,25.631,13.0,750,38.0
Mr. Rabbit Cabernet Sauvignon,2499,25.631,13.0,750,36.0
RIB Tickler Shiraz,2499,25.631,13.0,750,40.0
Silk & Spice Red Blend,2599,25.669,13.5,750,36.0
Ramon Roqueta Reserva,2599,25.669,13.5,750,37.0
Siglo Tempranillo,2599,25.669,13.5,750,37.0
Il Nostro Rosso,2599,25.669,13.5,750,33.0
Nederburg Cabernet Sauvignon The Winemasters,2599,25.669,13.5,750,35.0
Castillo Monjardin Garnacha,2599,25.669,13.5,750,35.0
Purato Nero d'Avola,2599,25.669,13.5,750,36.0
Lindeman's Bin 45 Cabernet Sauvignon,2599,25.669,13.5,750,34.0
Stemmari Passiata,2599,25.669,13.5,750,39.0
Dark Horse Cabernet Sauvignon,2599,25.669,13.5,750,36.0
Montecillo Crianza,2599,25.669,13.5,750,36.0
Chateau Calet,2699,25.705,14.0,750,36.0
Montes Cabernet Sauvignon Reserva,2699,25.705,14.0,750,37.0
19 Crimes The Uprising,2699,25.705,14.0,750,40.0
Hardys William Hardy Shiraz Langhorne Creek & Limestone Coast,2699,25.705,14.0,750,34.0
