name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Freixenet Cabernet Sauvignon,2490,0.2553846153846154,13.0,750
Yellow Tail Jammy Red Roo,2299,0.2554444444444444,12.0,750
Camp Round & Fruity Shiraz Cabernet Sauvignon,2299,0.2554444444444444,12.0,750
Falling Feather Ruby Cabernet,2299,0.2554444444444444,12.0,750
Liver More Pnot Nor Red Wine,2590,0.25580246913580246,13.5,750
Vinha da Urze Tinto,2590,0.25580246913580246,13.5,750
Querceto Red Wine,2590,0.25580246913580246,13.5,750
Casillero del Diablo Cabernet Sauvignon,2399,0.2558933333333333,12.5,750
Master Rabbit Syrah,2499,0.2563076923076923,13.0,750
Mr. Rabbit Cabernet Sauvignon,2499,0.2563076923076923,13.0,750
RIB Tickler Shiraz,2499,0.2563076923076923,13.0,750
Silk & Spice Red Blend,2599,0.25669135802469134,13.5,750
Ramon Roqueta Reserva,2599,0.25669135802469134,13.5,750
Siglo Tempranillo,2599,0.25669135802469134,13.5,750
Il Nostro Rosso,2599,0.25669135802469134,13.5,750
Nederburg Cabernet Sauvignon The Winemasters,2599,0.25669135802469134,13.5,750
Castillo Monjardin Garnacha,2599,0.25669135802469134,13.5,750
Purato Nero d'Avola,2599,0.25669135802469134,13.5,750
Lindeman's Bin 45 Cabernet Sauvignon,2599,0.25669135802469134,13.5,750
Stemmari Passiata,2599,0.25669135802469134,13.5,750
Dark Horse Cabernet Sauvignon,2599,0.25669135802469134,13.5,750
Montecillo Crianza,2599,0.25669135802469134,13.5,750
Chateau Calet,2699,0.257047619047619,14.0,750
Montes Cabernet Sauvignon Reserva,2699,0.257047619047619,14.0,750
19 Crimes The Uprising,2699,0.257047619047619,14.0,750
Hardys William Hardy Shiraz Langhorne Creek & Limestone Coast,2699,0.257047619047619,14.0,750
Baron de Ley Club Privado,2699,0.257047619047619,14.0,750
Passo del Sud Appassimento,2699,0.257047619047619,14.0,750
Ramon Bilbao Crianza,2699,0.257047619047619,14.0,750
Montgras Day One Carmenere Selected Harvest,2699,0.257047619047619,14.0,750
Antiche Terre Valpolicella Ripasso,2648,0.26153086419753085,13.5,750
Neleman Tempranillo Monastrell Organic,850,0.26153846153846155,13.0,250
Lab Signature Tinto,2948,0.26204444444444447,15.0,750
Valdecuriel Roble 8 Meses,2950,0.26222222222222225,15.0,750
Solandia Primitivo,2490,0.2656,12.5,750
Freixenet Chianti,2490,0.2656,12.5,750
Crama Oprisor Caloian Cabernet Sauvignon,2789,0.26561904761904764,14.0,750
Santa Julia Reserva Malbec Cabernet Franc,2889,0.2656551724137931,14.5,750
Masciarelli Montepulciano d'Abruzzo Masciarelli,2690,0.26567901234567903,13.5,750
Alamos Cabernet Sauvignon,2690,0.26567901234567903,13.5,750
Zenato Alanera,2690,0.26567901234567903,13.5,750
Amicale Rosso,2790,0.26571428571428574,14.0,750
Chateau Lafont Fourcat Rouge,2790,0.26571428571428574,14.0,750
Pasarisa Malbec,2790,0.26571428571428574,14.0,750
Lopez de Haro Reserva,2790,0.26571428571428574,14.0,750
Matsu El Picaro,2790,0.26571428571428574,14.0,750
Familia Valdelana Crianza,2890,0.2657471264367816,14.5,750
Acordeon Malbec Estate Grown,2895,0.26620689655172414,14.5,750
Viva Valentina Il Classico Rosso,1398,0.2662857142857143,14.0,375
Chateau du Bergey Fronsac Cuvee Tradition,2997,0.2664,15.0,750
Sensi Chianti,2498,0.2664533333333333,12.5,750
Montagnana,2499,0.26656,12.5,750
Rossetti Chianti,2499,0.26656,12.5,750
Bouchard Aine Pinot Noir Heritage du Conseiller,2499,0.26656,12.5,750
Trivento Malbec Reserve,2599,0.26656410256410257,13.0,750
El Coto Crianza,2599,0.26656410256410257,13.0,750
Silk & Spice Silk Route Smooth Red Blend,2599,0.26656410256410257,13.0,750
Ecologica Shiraz Malbec Organic Reserve,2599,0.26656410256410257,13.0,750
Montgras Day One Cabernet Sauvignon Selected,2699,0.2665679012345679,13.5,750
Altano Douro Rewilding Edition rautt,2699,0.2665679012345679,13.5,750
Vina Eguia Crianza,2699,0.2665679012345679,13.5,750
Montgras Day One Merlot Selected Harvest,2699,0.2665679012345679,13.5,750
Apothic Dark,2799,0.26657142857142857,14.0,750
Manifesto Nero d'Avola Organic,2799,0.26657142857142857,14.0,750
Masi Passo Doble,2799,0.26657142857142857,14.0,750
La Baume la Jeunesse Syrah,2799,0.26657142857142857,14.0,750
Pepperbox Shiraz,2799,0.26657142857142857,14.0,750
Castillo Monjardin Crianza Cabernet Tempranillo Merlot,2799,0.26657142857142857,14.0,750
Hyria Primitivo,2799,0.26657142857142857,14.0,750
Laurent Miquel Pas de Geant Syrah Grenache,2899,0.26657471264367816,14.5,750
Barton & Guestier Les Galets Grenache Syrah Mourvedre les Galets,2899,0.26657471264367816,14.5,750
JP. Chenet Cabernet Syrah,649,0.2669683257918552,13.0,187
JP. Chenet Cabernet Syrah,869,0.2673846153846154,13.0,250
Berceo Tempranillo,2744,0.27101234567901233,13.5,750
I Insurgente rautt,2850,0.2714285714285714,14.0,750
Always on Friday Pinot Noir,2651,0.2718974358974359,13.0,750
Trapiche Oak Cask Malbec & Trapiche Chardonnay blandað 2x750ml í öskju,5599,0.2724574209245742,13.7,1500
Maiastru Merlot Demisec,2870,0.2733333333333333,14.0,750
Colognole Sinopie rautt,2880,0.2742857142857143,14.0,750
Orube Crianza,2880,0.2742857142857143,14.0,750
Fabiano Rosso Veronese Negraro,2882,0.2744761904761905,14.0,750
Grande Alberone Rosso,2990,0.2749425287356322,14.5,750
Espresso Wine Merlot,617,0.2749554367201426,12.0,187
Perelada 3 Finques,2888,0.27504761904761904,14.0,750
Mariana Vinho Tinto,2889,0.27514285714285713,14.0,750
With Love Cabernet Sauvignon,2890,0.2752380952380952,14.0,750
Marques del Silvo Reserva,2789,0.2754567901234568,13.5,750
Finca Vidales Tinto,2790,0.27555555555555555,13.5,750
Fontanafredda Briccotondo Barbera,2790,0.27555555555555555,13.5,750
Vidal Fleury Cotes du Rhone,2999,0.27577011494252873,14.5,750
Angeles de Amaren Tempranillo y Graciano,2999,0.27577011494252873,14.5,750
Lamothe Vincent Heritage,2999,0.27577011494252873,14.5,750
Big Game Malbec,2999,0.27577011494252873,14.5,750
Guelbenzu Azul,2999,0.27577011494252873,14.5,750
Periquita Reserva Red Wine,2690,0.27589743589743587,13.0,750
Caparzo Sangiovese,2690,0.27589743589743587,13.0,750
Sensi Forziere Chianti Classico,2898,0.276,14.0,750
Vinea Crianza Tempranillo,2899,0.2760952380952381,14.0,750
Flor de Crasto Vinho Tinto,2899,0.2760952380952381,14.0,750
Bellingham Shiraz,2899,0.2760952380952381,14.0,750
Cantina di Negrar Appassimento Passito,2899,0.2760952380952381,14.0,750
Bellingham Pinotage,2899,0.2760952380952381,14.0,750
Eloquente Selecionada,2692,0.2761025641025641,13.0,750
Villa Puccini Chianti Superiore,2590,0.27626666666666666,12.5,750
Paxis Red Blend,2591,0.27637333333333336,12.5,750
Apothic Red,2799,0.27644444444444444,13.5,750
Michel Lynch Merlot Cabernet Sauvignon,2799,0.27644444444444444,13.5,750
Cune Crianza,2799,0.27644444444444444,13.5,750
Apothic Cab,2799,0.27644444444444444,13.5,750
Gerard Bertrand Merlot Cite de Carcassonne,2799,0.27644444444444444,13.5,750
Novas Cabernet Sauvignon Gran Reserva,2799,0.27644444444444444,13.5,750
Campet Ste Marie GSM,2799,0.27644444444444444,13.5,750
El Holgazan,2906,0.27676190476190476,14.0,750
Riporta Nero d'Avola Small Batch,2699,0.27682051282051284,13.0,750
Ruffino Chianti,2699,0.27682051282051284,13.0,750
Yellow Tail Shiraz,699,0.2768865121806298,13.5,187
Mrs. Rabbit Pinot Noir,2599,0.2772266666666667,12.5,750
Altos Ibericos Crianza,2940,0.28,14.0,750
Beronia Ecologico,2940,0.28,14.0,750
Vila Real Douro Reserva rautt,2947,0.2806666666666667,14.0,750
Sensi Ninfato Sangiovese,2948,0.28076190476190477,14.0,750
Maison Castel Saint-Emilion rautt,2948,0.28076190476190477,14.0,750
Porrais Tinto,2948,0.28076190476190477,14.0,750
"Baron de Ley Reserva, Baron de Ley hvítt blandað 2x750 ml í öskju",5499,0.282,13.0,1500
Hubert Sandhofer Merlot,2751,0.28215384615384614,13.0,750
Rioja Vega Crianza,2973,0.28314285714285714,14.0,750
Apothic Inferno,3399,0.28325,16.0,750
Pasarisa Cabernet Sauvignon,2975,0.2833333333333333,14.0,750
Tagua Carmenere,2765,0.2835897435897436,13.0,750
