name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Stella Artois,389,0.23575757575757575,5.0,330
Föroya Sterkur Veðrur,561,0.2361111111111111,7.2,330
Föroya 1888 Special Edition,452,0.2361546499477534,5.8,330
Föroya Páska Bryggj,452,0.2361546499477534,5.8,330
Föroya Jóla Bryggj,452,0.2361546499477534,5.8,330
Föroya Slupp,452,0.2361546499477534,5.8,330
Föroya Gull,452,0.2361546499477534,5.8,330
Slip,489,0.23646034816247583,4.7,440
Tuborg Classic,359,0.23649538866930175,4.6,330
Einstök Wee Heavy,629,0.23825757575757575,8.0,330
Einstök White Ale,409,0.23834498834498835,5.2,330
Gull Lite Premium kútur 25 lítrar,25220,0.2401904761904762,4.2,25000
Gull Lite,349,0.24035812672176304,4.4,330
Gull Lite kútur 25 lítrar,24650,0.24048780487804883,4.1,25000
Gæðingur 200 Kóp Blonde Ale,373,0.24049000644745325,4.7,330
Daura Damm Gluten Free,429,0.2407407407407407,5.4,330
The Brothers Brewery Easy Brother Amber Ale,398,0.2412121212121212,5.0,330
Tuborg Grön,359,0.24175084175084174,4.5,330
Budweiser Budvar,399,0.24181818181818182,5.0,330
Peroni Nastro Azzurro,399,0.24181818181818182,5.0,330
Heineken,399,0.24181818181818182,5.0,330
Föroya Black Sheep Premium Dark Lager,464,0.24242424242424243,5.8,330
Boli Premium,449,0.242965367965368,5.6,330
Víking Gylltur,449,0.242965367965368,5.6,330
Weihenstephaner Korbinian Doppelbock,899,0.24297297297297296,7.4,500
Schneider Weisse Aventinus Weizen DoppelBock TAP 06,999,0.24365853658536585,8.2,500
Bríó nr. 1 Pilsner,379,0.2443584784010316,4.7,330
Gæðingur Stout,452,0.2445887445887446,5.6,330
Íri Red Ale,397,0.2455163883735312,4.9,330
Föroya Slupp,470,0.24555903866248693,5.8,330
Green Islands Stout,470,0.24555903866248693,5.8,330
Föroya Gull,470,0.24555903866248693,5.8,330
Kronenbourg 1664 Blanc kútur 30 lítrar,36968,0.24645333333333333,5.0,30000
König Pilsener,399,0.24675324675324672,4.9,330
Hoegaarden Wit-Blanche,399,0.24675324675324672,4.9,330
Smiðjan Páskalager,599,0.24752066115702478,5.5,440
Tsingtao Lager,384,0.24758220502901354,4.7,330
O'Dear Stout,327,0.24772727272727274,4.0,330
Kronenbourg 1664 Blanc,409,0.24787878787878787,5.0,330
3 Bean Stout,982,0.24797979797979797,12.0,330
Tuborg Classic kútur 25 lítrar,26821,0.24949767441860465,4.3,25000
Weihenstephaner 1516 Kellerbier,699,0.24964285714285714,5.6,500
Víking Krummi Stout,479,0.2502612330198537,5.8,330
Einstök Arctic Lager,389,0.2508059316569955,4.7,330
Asahi Super Dry,415,0.2515151515151515,5.0,330
Víking páskabjór,399,0.2518939393939394,4.8,330
Páskabjór Hazy IPA,499,0.25202020202020203,6.0,330
Zywiec Baltic Porter,1198,0.2522105263157895,9.5,500
Segull 67 Lite glúten frír lager,367,0.2527548209366391,4.4,330
Kaldi Lite,367,0.2527548209366391,4.4,330
Föroya Pilsnar Veðrur,384,0.2529644268774704,4.6,330
Segull 67 Sjarmör,384,0.2529644268774704,4.6,330
Peroni Nastro Azzurro,419,0.25393939393939396,5.0,330
Paulaner Weissbier,699,0.2541818181818182,5.5,500
Bjór með bubblum venjulegur lager,386,0.2542819499341239,4.6,330
Ölvisholt Skaði Farmhouse Ale,630,0.2545454545454545,7.5,330
Cobra,758,0.25521885521885523,4.5,660
Weihenstephaner Hefe Weissbier,690,0.25555555555555554,5.4,500
"Skessa, wasabi infused DIPA",609,0.2563131313131313,7.2,330
Weihenstephaner Vitus Weizenbock,990,0.2571428571428571,7.7,500
Miller Genuine Draft,399,0.2572533849129594,4.7,330
Daura Damm Gluten Free Lager,459,0.25757575757575757,5.4,330
Fossa Vatn Lager,375,0.25826446280991733,4.4,330
Páskaálfur Lager,428,0.2593939393939394,5.0,330
Erdinger Weissbier,689,0.26,5.3,500
Egils Gull,429,0.26,5.0,330
Stella Artois,429,0.26,5.0,330
Erdinger Dunkel,689,0.26,5.3,500
Carlsberg,429,0.26,5.0,330
Mildingur Dökkur,327,0.2607655502392344,3.8,330
Þorra Kaldi sérmerktur,482,0.26082251082251084,5.6,330
Gull Lite Yuzu Lime,379,0.2610192837465564,4.4,330
Víking Lite Lime,379,0.2610192837465564,4.4,330
Víking lite páskar,379,0.2610192837465564,4.4,330
Desperados,509,0.2614278376990241,5.9,330
